Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Capacity (Tons),Year,Efficiency_Cost_Index,Campaign_Effectiveness_Ratio,Capacity_vs_Generation,City_Target_Encoded,Waste Type_E-Waste,Waste Type_Hazardous,Waste Type_Organic,Waste Type_Plastic,Disposal Method_Incineration,Disposal Method_Landfill,Disposal Method_Recycling,Geo_Cluster_1,Geo_Cluster_2,Geo_Cluster_3,Geo_Cluster_4
8952,43,18195,5,2956,0,52609,2019,0.0016909029421711193,0.0,5.876130905841618,56.32,0,1,0,0,0,0,1,1,0,0,0
7075,84,18195,6,4993,15,52609,2020,0.0012014417300760913,0.0008243570015387997,7.434850197851894,56.32,0,0,0,1,1,0,0,1,0,0,0
3653,83,18195,5,3975,1,52609,2020,0.0012575452716297787,5.495713343591998e-05,14.397646414887793,56.32,0,0,1,0,0,0,0,1,0,0,0
5477,40,18195,10,3064,14,52609,2020,0.0032626427406199023,0.0007693998681028798,9.603687477181452,56.32,1,0,0,0,1,0,0,1,0,0,0
6105,83,18195,6,2320,18,52609,2020,0.0025850926324859974,0.0009892284018465597,8.61595152309204,56.32,0,0,0,0,1,0,0,1,0,0,0
941,63,18195,5,3733,6,52609,2020,0.001339046598821639,0.0003297428006155199,55.84819532908705,56.32,0,1,0,0,0,1,0,1,0,0,0
798,36,18195,8,2456,11,52609,2021,0.003256003256003256,0.0006045284677951198,65.84355444305382,56.32,0,0,0,1,1,0,0,1,0,0,0
994,51,18195,6,2169,15,52609,2021,0.0027649769585253456,0.0008243570015387997,52.87336683417085,56.32,0,0,1,0,0,0,1,1,0,0,0
8114,56,18195,8,4323,6,52609,2021,0.0018501387604070306,0.0003297428006155199,6.482932840418977,56.32,1,0,0,0,0,0,1,1,0,0,0
6555,34,18195,7,2973,17,52609,2021,0.0023537323470073975,0.0009342712684106397,8.024557657107993,56.32,0,0,0,0,0,0,0,1,0,0,0
4008,47,18195,10,3873,5,52609,2021,0.002581311306143521,0.0002747856671795999,13.1227238712896,56.32,0,1,0,0,1,0,0,1,0,0,0
3739,43,18195,5,2073,9,52609,2022,0.0024108003857280617,0.0004946142009232798,14.066577540106952,56.32,0,0,0,1,0,0,1,1,0,0,0
909,54,18195,10,1000,20,52609,2022,0.00999000999000999,0.0010991426687183997,57.81208791208791,56.32,0,0,1,0,0,0,0,1,0,0,0
5864,51,18195,9,4645,19,52609,2022,0.0019371502367628067,0.0010441855352824796,8.96999147485081,56.32,1,0,0,0,0,1,0,1,0,0,0
512,65,18195,6,3796,17,52609,2022,0.0015801948907031868,0.0009342712684106397,102.55165692007797,56.32,0,0,0,0,1,0,0,1,0,0,0
902,85,18195,7,1379,14,52609,2022,0.005072463768115942,0.0007693998681028798,58.26024363233665,56.32,0,1,0,0,0,1,0,1,0,0,0
5280,68,18195,9,2386,10,52609,2023,0.003770423125261835,0.0005495713343591998,9.961939026699488,56.32,0,0,0,1,0,1,0,1,0,0,0
7135,79,18195,5,3919,17,52609,2023,0.0012755102040816326,0.0009342712684106397,7.372337443946188,56.32,0,0,1,0,1,0,0,1,0,0,0
7667,81,18195,6,2745,10,52609,2023,0.0021849963583394027,0.0005495713343591998,6.860850286906625,56.32,1,0,0,0,0,1,0,1,0,0,0
3159,43,18195,10,4007,7,52609,2023,0.00249500998003992,0.0003846999340514399,16.64841772151899,56.32,0,0,0,0,0,0,1,1,0,0,0
5891,59,18195,7,2202,15,52609,2023,0.0031774852473899226,0.0008243570015387997,8.928886625933469,56.32,0,1,0,0,1,0,0,1,0,0,0
6159,74,21430,10,3282,13,65486,2019,0.003045994517209869,0.0006065979189025243,10.630844155844155,56.92,0,0,0,1,0,0,0,0,0,1,0
6358,53,21430,5,4225,1,65486,2019,0.001183151916706105,4.666137837711726e-05,10.298160088064161,56.92,0,0,1,0,0,0,0,0,0,1,0
6787,50,21430,5,1623,7,65486,2019,0.003078817733990148,0.00032662964863982083,9.64731879787861,56.92,1,0,0,0,0,1,0,0,0,1,0
628,41,21430,10,837,7,65486,2019,0.011933174224343675,0.00032662964863982083,104.11128775834658,56.92,0,0,0,0,0,0,1,0,0,1,0
1639,50,21430,9,3225,19,65486,2019,0.002789832610043397,0.000886566189165228,39.93048780487805,56.92,0,1,0,0,0,0,0,0,0,1,0
1760,68,21430,8,2871,18,65486,2020,0.002785515320334262,0.0008399048107881106,37.18682566723452,56.92,0,0,0,1,1,0,0,0,0,1,0
6805,32,21430,5,1988,3,65486,2020,0.002513826043237808,0.00013998413513135178,9.62180429033206,56.92,0,0,1,0,0,0,0,0,0,1,0
5763,67,21430,5,1453,0,65486,2020,0.0034387895460797797,0.0,11.36120749479528,56.92,1,0,0,0,0,1,0,0,0,1,0
8100,76,21430,9,2855,1,65486,2020,0.0031512605042016808,4.666137837711726e-05,8.083693371188742,56.92,0,0,0,0,1,0,0,0,0,1,0
651,46,21430,8,533,7,65486,2020,0.0149812734082397,0.00032662964863982083,100.43865030674847,56.92,0,1,0,0,0,0,1,0,0,1,0
4648,60,21430,9,1389,0,65486,2021,0.006474820143884892,0.0,14.086040008604002,56.92,0,0,0,1,0,1,0,0,0,1,0
8394,72,21430,6,4236,15,65486,2021,0.0014160962945480293,0.0006999206756567589,7.800595592614652,56.92,0,0,1,0,1,0,0,0,0,1,0
4255,31,21430,6,3888,17,65486,2021,0.0015428130624839291,0.0007932434324109934,15.386748120300751,56.92,1,0,0,0,0,1,0,0,0,1,0
4259,65,21430,7,1620,10,65486,2021,0.00431832202344232,0.0004666137837711726,15.372300469483568,56.92,0,0,0,0,0,0,0,0,0,1,0
552,31,21430,7,2450,2,65486,2021,0.0028559771521827824,9.332275675423452e-05,118.41952983725136,56.92,0,1,0,0,1,0,0,0,0,1,0
1858,61,21430,5,4476,3,65486,2022,0.0011168192986374804,0.00013998413513135178,35.226465841850455,56.92,0,0,0,1,1,0,0,0,0,1,0
5933,71,21430,8,3180,20,65486,2022,0.002514932411191449,0.0009332275675423452,11.035726322885068,56.92,0,0,1,0,0,0,1,0,0,1,0
7231,36,21430,7,3588,12,65486,2022,0.0019504040122596824,0.0005599365405254071,9.055033185840708,56.92,1,0,0,0,1,0,0,0,0,1,0
8389,79,21430,10,3449,20,65486,2022,0.002898550724637681,0.0009332275675423452,7.805244338498212,56.92,0,0,0,0,1,0,0,0,0,1,0
6393,53,21430,7,764,16,65486,2022,0.009150326797385621,0.0007465820540338762,10.24178917735377,56.92,0,1,0,0,0,1,0,0,0,1,0
4234,44,21430,8,3634,19,65486,2023,0.002200825309491059,0.000886566189165228,15.463046044864226,56.92,0,0,0,1,0,0,0,0,0,1,0
7743,64,21430,7,2483,20,65486,2023,0.002818035426731079,0.0009332275675423452,8.456353305785123,56.92,0,0,1,0,0,0,1,0,0,1,0
618,85,21430,6,1982,15,65486,2023,0.0030257186081694403,0.0006999206756567589,105.79321486268175,56.92,1,0,0,0,1,0,0,0,0,1,0
4852,69,21430,5,4411,8,65486,2023,0.0011332728921124207,0.0003732910270169381,13.493921285802596,56.92,0,0,0,0,0,0,1,0,0,1,0
3096,45,21430,8,896,19,65486,2023,0.008918617614269788,0.000886566189165228,21.144979011947047,56.92,0,1,0,0,0,0,0,0,0,1,0
7992,32,17335,9,2038,20,80985,2019,0.004413928396272682,0.0011536686663590216,10.13199049168022,58.28,0,0,0,1,0,0,0,0,1,0,0
8041,71,17335,6,4200,6,80985,2019,0.0014282313734825041,0.00034610059990770653,10.070256155185277,58.28,0,0,1,0,0,0,0,0,1,0,0
812,50,17335,10,3118,16,80985,2019,0.0032061558191728116,0.0009229349330872173,99.61254612546125,58.28,1,0,0,0,0,0,1,0,1,0,0
4954,63,17335,10,1135,14,80985,2019,0.008802816901408451,0.0008075680664513152,16.34409687184662,58.28,0,0,0,0,1,0,0,0,1,0,0
626,53,17335,5,4504,6,80985,2019,0.0011098779134295228,0.00034610059990770653,129.16267942583733,58.28,0,1,0,0,0,0,1,0,1,0,0
1569,52,17335,10,2719,4,80985,2020,0.003676470588235294,0.00023073373327180433,51.5828025477707,58.28,0,0,0,1,0,0,0,0,1,0,0
6472,74,17335,5,3328,14,80985,2020,0.0015019525382997897,0.0008075680664513152,12.511200370770894,58.28,0,0,1,0,0,1,0,0,1,0,0
6409,50,17335,9,1796,11,80985,2020,0.005008347245409015,0.0006345177664974619,12.634165366614665,58.28,1,0,0,0,0,0,0,0,1,0,0
2509,60,17335,5,2411,20,80985,2020,0.0020729684908789387,0.0011536686663590216,32.264940239043824,58.28,0,0,0,0,0,0,0,0,1,0,0
5709,58,17335,10,4414,3,80985,2020,0.0022650056625141564,0.00017305029995385326,14.183012259194395,58.28,0,1,0,0,1,0,0,0,1,0,0
3627,67,17335,6,4952,16,80985,2021,0.0012113870381586917,0.0009229349330872173,22.322216097023155,58.28,0,0,0,1,1,0,0,0,1,0,0
9186,35,17335,6,4649,9,80985,2021,0.0012903225806451613,0.0005191508998615597,8.815173614890606,58.28,0,0,1,0,0,1,0,0,1,0,0
2735,54,17335,8,2923,1,80985,2021,0.0027359781121751026,5.7683433317951084e-05,29.599780701754387,58.28,1,0,0,0,0,0,0,0,1,0,0
1989,45,17335,7,2795,8,80985,2021,0.002503576537911302,0.00046146746654360867,40.69597989949749,58.28,0,0,0,0,0,0,1,0,1,0,0
2740,34,17335,8,1795,7,80985,2021,0.004454342984409799,0.0004037840332256576,29.545786209412622,58.28,0,1,0,0,0,0,1,0,1,0,0
1267,51,17335,7,4565,9,80985,2022,0.0015330705212439773,0.0005191508998615597,63.868296529968454,58.28,0,0,0,1,1,0,0,0,1,0,0
545,61,17335,5,4082,13,80985,2022,0.0012245897624295861,0.0007498846331333641,148.32417582417582,58.28,0,0,1,0,0,1,0,0,1,0,0
1714,81,17335,7,2394,11,80985,2022,0.0029227557411273487,0.0006345177664974619,47.221574344023324,58.28,1,0,0,0,0,0,0,0,1,0,0
7568,65,17335,5,3770,0,80985,2022,0.0013259082471492973,0.0,10.6995640110979,58.28,0,0,0,0,1,0,0,0,1,0,0
8057,32,17335,5,2400,3,80985,2022,0.0020824656393169513,0.00017305029995385326,10.050260610573343,58.28,0,1,0,0,0,0,0,0,1,0,0
6343,80,17335,7,1064,17,80985,2023,0.006572769953051643,0.0009806183664051685,12.765605296343,58.28,0,0,0,1,0,0,1,0,1,0,0
1654,71,17335,10,2348,11,80985,2023,0.004257130693912303,0.0006345177664974619,48.933534743202415,58.28,0,0,1,0,1,0,0,0,1,0,0
9639,60,17335,10,2743,11,80985,2023,0.0036443148688046646,0.0006345177664974619,8.400933609958507,58.28,1,0,0,0,0,1,0,0,1,0,0
4040,77,17335,6,2119,16,80985,2023,0.002830188679245283,0.0009229349330872173,20.04083147735709,58.28,0,0,0,0,0,1,0,0,1,0,0
956,81,17335,9,673,10,80985,2023,0.013353115727002967,0.0005768343331795108,84.62382445141066,58.28,0,1,0,0,0,1,0,0,1,0,0
5089,66,7927,6,1103,10,34239,2019,0.005434782608695652,0.0012613521695257316,6.72671905697446,56.96,0,0,0,1,0,0,1,0,0,1,0
588,32,7927,6,3131,5,34239,2019,0.0019157088122605363,0.0006306760847628658,58.130730050933785,56.96,0,0,1,0,1,0,0,0,0,1,0
6487,37,7927,9,2065,0,34239,2019,0.004356243949661181,0.0,5.2772811344019726,56.96,1,0,0,0,1,0,0,0,0,1,0
2163,52,7927,5,2206,7,34239,2019,0.0022655188038060714,0.0008829465186680121,15.822088724584104,56.96,0,0,0,0,1,0,0,0,0,1,0
1887,48,7927,7,3526,17,34239,2019,0.001984689537850865,0.0021442986881937435,18.135063559322035,56.96,0,1,0,0,0,0,0,0,0,1,0
3899,59,7927,7,2812,5,34239,2020,0.002488446498400284,0.0006306760847628658,8.77923076923077,56.96,0,0,0,1,1,0,0,0,0,1,0
7422,73,7927,9,3646,19,34239,2020,0.0024677817384151355,0.00239656912209889,4.612555570524047,56.96,0,0,1,0,0,1,0,0,0,1,0
2765,39,7927,7,1602,15,34239,2020,0.004366812227074236,0.0018920282542885974,12.378524945770065,56.96,1,0,0,0,0,0,1,0,0,1,0
5337,72,7927,7,4205,2,34239,2020,0.0016642891107941037,0.0002522704339051463,6.414200074934432,56.96,0,0,0,0,0,0,0,0,0,1,0
1713,85,7927,5,4307,17,34239,2020,0.001160631383472609,0.0021442986881937435,19.97607934655776,56.96,0,1,0,0,1,0,0,0,0,1,0
7858,79,7927,7,3494,8,34239,2021,0.0020028612303290413,0.0010090817356205853,4.3566611528184245,56.96,0,0,0,1,0,0,0,0,0,1,0
6905,46,7927,5,1624,2,34239,2021,0.003076923076923077,0.0002522704339051463,4.957862728062555,56.96,0,0,1,0,1,0,0,0,0,1,0
1285,72,7927,9,1411,19,34239,2021,0.006373937677053824,0.00239656912209889,26.624416796267496,56.96,1,0,0,0,1,0,0,0,0,1,0
805,34,7927,6,1077,11,34239,2021,0.0055658627087198514,0.0013874873864783048,42.48014888337469,56.96,0,0,0,0,0,0,1,0,0,1,0
742,83,7927,5,2985,12,34239,2021,0.0016744809109176155,0.0015136226034308778,46.082099596231494,56.96,0,1,0,0,0,0,0,0,0,1,0
5774,48,7927,6,3095,7,34239,2022,0.001937984496124031,0.0008829465186680121,5.928831168831169,56.96,0,0,0,1,1,0,0,0,0,1,0
1013,80,7927,8,823,3,34239,2022,0.009708737864077669,0.00037840565085771945,33.76627218934911,56.96,0,0,1,0,0,0,0,0,0,1,0
708,42,7927,6,1987,0,34239,2022,0.0030181086519114686,0.0,48.2919605077574,56.96,1,0,0,0,0,1,0,0,0,1,0
2667,39,7927,6,4911,4,34239,2022,0.0012214983713355048,0.0005045408678102926,12.8332083958021,56.96,0,0,0,0,1,0,0,0,0,1,0
8430,82,7927,7,706,3,34239,2022,0.009900990099009901,0.00037840565085771945,4.0610840944134745,56.96,0,1,0,0,0,1,0,0,0,1,0
4495,51,7927,5,1787,10,34239,2023,0.002796420581655481,0.0012613521695257316,7.615435943060498,56.96,0,0,0,1,0,0,0,0,0,1,0
1514,44,7927,7,4521,3,34239,2023,0.0015479876160990713,0.00037840565085771945,22.6,56.96,0,0,1,0,1,0,0,0,0,1,0
1598,61,7927,8,3658,4,34239,2023,0.002186389723968297,0.0005045408678102926,21.412757973733584,56.96,1,0,0,0,0,1,0,0,0,1,0
4204,31,7927,8,2208,8,34239,2023,0.0036215482118605704,0.0010090817356205853,8.142449464922711,56.96,0,0,0,0,1,0,0,0,0,1,0
4592,69,7927,10,4701,12,34239,2023,0.002126754572522331,0.0015136226034308778,7.454604833442195,56.96,0,1,0,0,0,0,0,0,0,1,0
8897,48,12547,6,4355,15,49524,2019,0.0013774104683195593,0.0011954096270321963,5.5657451112609575,53.88,0,0,0,1,1,0,0,0,0,1,0
8028,68,12547,8,3502,19,49524,2019,0.0022837567799029405,0.0015141855275741154,6.168140490721136,53.88,0,0,1,0,0,0,0,0,0,1,0
3125,36,12547,7,969,14,49524,2019,0.007216494845360825,0.0011157156518967167,15.842610364683301,53.88,1,0,0,0,0,0,1,0,0,1,0
9857,62,12547,7,2667,12,49524,2019,0.002623688155922039,0.000956327701625757,5.023737066342057,53.88,0,0,0,0,0,1,0,0,0,1,0
5547,46,12547,7,1229,11,49524,2019,0.005691056910569106,0.0008766337264902774,8.92645998558039,53.88,0,1,0,0,0,0,0,0,0,1,0
2280,52,12547,9,2575,6,49524,2020,0.0034937888198757765,0.0004781638508128785,21.711530030688294,53.88,0,0,0,1,0,1,0,0,0,1,0
1926,53,12547,9,3238,19,49524,2020,0.002778635381290522,0.0015141855275741154,25.700051894135964,53.88,0,0,1,0,0,0,1,0,0,1,0
8098,36,12547,9,2009,5,49524,2020,0.004477611940298508,0.0003984698756773988,6.114828991233486,53.88,1,0,0,0,1,0,0,0,0,1,0
1089,85,12547,6,798,14,49524,2020,0.007509386733416771,0.0011157156518967167,45.434862385321104,53.88,0,0,0,0,0,0,0,0,0,1,0
8742,61,12547,5,2713,13,49524,2020,0.0018422991893883567,0.001036021676761237,5.664417248084182,53.88,0,1,0,0,0,1,0,0,0,1,0
4485,66,12547,8,3069,11,49524,2021,0.0026058631921824105,0.0008766337264902774,11.039679001337495,53.88,0,0,0,1,0,1,0,0,0,1,0
6145,44,12547,5,1707,6,49524,2021,0.002927400468384075,0.0004781638508128785,8.057923852912463,53.88,0,0,1,0,0,0,0,0,0,1,0
8407,61,12547,6,3974,3,49524,2021,0.0015094339622641509,0.00023908192540643926,5.890104662226451,53.88,1,0,0,0,0,0,0,0,0,1,0
511,33,12547,5,1998,6,49524,2021,0.0025012506253126563,0.0004781638508128785,96.7265625,53.88,0,0,0,0,0,0,1,0,0,1,0
1623,57,12547,5,3589,20,49524,2021,0.001392757660167131,0.0015938795027095952,30.495073891625616,53.88,0,1,0,0,0,0,0,0,0,1,0
3578,39,12547,7,2681,11,49524,2022,0.002609992542878449,0.0008766337264902774,13.837384744341994,53.88,0,0,0,1,0,0,1,0,0,1,0
7921,69,12547,7,3569,7,49524,2022,0.00196078431372549,0.0005578578259483584,6.251451653622823,53.88,0,0,1,0,1,0,0,0,0,1,0
9741,75,12547,10,4988,1,49524,2022,0.0020044097013429546,7.969397513547975e-05,5.08355573804147,53.88,1,0,0,0,1,0,0,0,0,1,0
4804,36,12547,6,3338,13,49524,2022,0.0017969451931716084,0.001036021676761237,10.306763787721124,53.88,0,0,0,0,0,0,0,0,0,1,0
8508,55,12547,10,3321,7,49524,2022,0.0030102347983142685,0.0005578578259483584,5.82019038664943,53.88,0,1,0,0,1,0,0,0,0,1,0
5594,76,12547,5,4656,8,49524,2023,0.001073652566029633,0.000637551801083838,8.8514745308311,53.88,0,0,0,1,0,1,0,0,0,1,0
3851,83,12547,6,3334,12,49524,2023,0.0017991004497751124,0.000956327701625757,12.856697819314642,53.88,0,0,1,0,0,0,1,0,0,1,0
8611,30,12547,9,1359,5,49524,2023,0.006617647058823529,0.0003984698756773988,5.750580585229912,53.88,1,0,0,0,1,0,0,0,0,1,0
2012,45,12547,10,2368,6,49524,2023,0.004221190375685944,0.0004781638508128785,24.60208643815201,53.88,0,0,0,0,0,1,0,0,0,1,0
9234,31,12547,7,2438,15,49524,2023,0.002870028700287003,0.0011954096270321963,5.362642122360585,53.88,0,1,0,0,0,1,0,0,0,1,0
9807,67,9464,5,4632,17,69399,2019,0.0010792143319663286,0.0017960908610670893,7.075754486133769,61.32,0,0,0,1,0,1,0,0,1,0,0
1302,56,9464,9,673,19,69399,2019,0.013353115727002967,0.002007395668251453,53.26093630084421,61.32,0,0,1,0,0,0,1,0,1,0,0
6409,76,9464,7,2025,2,69399,2019,0.0034550839091806516,0.00021130480718436345,10.826677067082683,61.32,1,0,0,0,1,0,0,0,1,0,0
5933,68,9464,8,2882,7,69399,2019,0.002774887270204648,0.0007395668251452721,11.695146612740142,61.32,0,0,0,0,0,1,0,0,1,0,0
2686,81,9464,9,1638,9,69399,2019,0.005491153142159854,0.0009508716323296355,25.827688872348343,61.32,0,1,0,0,1,0,0,0,1,0,0
5578,55,9464,6,2669,12,69399,2020,0.0022471910112359553,0.0012678288431061807,12.439326044093924,61.32,0,0,0,1,0,0,1,0,1,0,0
